Name,TID,LevelFile,BaseLevelFile,Loot,ExpLevel,MatchmakingSkill,DefenseValue,IsOutpost,OutpostRes,OutpostProduction,UnitType,UnitCount,CommonArtifactPiecesFromTownHall,RareArtifactPiecesFromTownHall,EpicArtifactPiecesFromTownHall
mainland_a_8,TID_MAINLAND_A_8,level/base/mainland_a_8.json,layout/mainland_a.level,"0,2200,1600,400,170",9,179,178,false,,,,,,,
mainland_a_9,TID_MAINLAND_A_9,level/base/mainland_a_9.json,layout/mainland_a.level,"0,2200,1600,400,170",9,185,186,false,,,,,,,
mainland_a_10,TID_MAINLAND_A_10,level/base/mainland_a_10.json,layout/mainland_a.level,"0,2200,1600,400,170",9,182,182,false,,,,,,,
mainland_a_11,TID_MAINLAND_A_11,level/base/mainland_a_11.json,layout/mainland_a.level,"0,2200,1600,400,170",9,176,175,false,,,,,,,
mainland_a_12,TID_MAINLAND_A_12,level/base/mainland_a_12.json,layout/mainland_a.level,"0,4000,3000,750,320",14,276,316,false,,,,,,,
mainland_a_13,TID_MAINLAND_A_13,level/base/mainland_a_13.json,layout/mainland_a.level,"0,1900,1200,300,130",7,137,131,false,,,,,,,
mainland_a_14,TID_MAINLAND_A_14,level/base/mainland_a_14.json,layout/mainland_a.level,"0,2600,1900,480,200",10,212,221,false,,,,,,,
mainland_a_15,TID_MAINLAND_A_15,level/base/mainland_a_15.json,layout/mainland_a.level,"0,4200,3100,780,330",15,316,384,false,,,,,,,
mainland_a_16,TID_MAINLAND_A_16,level/base/mainland_a_16.json,layout/mainland_a.level,"0,1300,740,190,80",4,84,82,false,,,,,,,
mainland_a_17,TID_MAINLAND_A_17,level/base/mainland_a_17.json,layout/mainland_a.level,"0,600,450,110,50",1,19,37,false,,,,,,,
mainland_a_18,TID_MAINLAND_A_18,level/base/mainland_a_18.json,layout/mainland_a.level,"0,5200,3200,800,340",16,331,411,false,,,,,,,
mainland_a_19,TID_MAINLAND_A_19,level/base/mainland_a_19.json,layout/mainland_a.level,"0,1600,820,210,90",6,134,128,false,,,,,,,
mainland_a_20,TID_MAINLAND_A_20,level/base/mainland_a_20.json,layout/mainland_a.level,"0,4200,3100,780,330",15,287,334,false,,,,,,,
mainland_a_21,TID_MAINLAND_A_21,level/base/mainland_a_21.json,layout/mainland_a.level,"0,2200,1600,400,170",9,163,160,false,,,,,,,
mainland_a_22,TID_MAINLAND_A_22,level/base/mainland_a_22.json,layout/mainland_a.level,"0,4200,3100,780,330",15,326,402,false,,,,,,,
mainland_a_23,TID_MAINLAND_A_23,level/base/mainland_a_23.json,layout/mainland_a.level,"0,2900,2200,550,230",12,254,282,false,,,,,,,
mainland_a_24,TID_MAINLAND_A_24,level/base/mainland_a_24.json,layout/mainland_a.level,"0,2600,1900,480,200",10,215,225,false,,,,,,,
mainland_a_25,TID_MAINLAND_A_25,level/base/mainland_a_25.json,layout/mainland_a.level,"0,900,680,170,70",3,66,68,false,,,,,,,
mainland_a_26,TID_MAINLAND_A_26,level/base/mainland_a_26.json,layout/mainland_a.level,"0,4000,3000,750,320",14,281,324,false,,,,,,,
mainland_a_27,TID_MAINLAND_A_27,level/base/mainland_a_27.json,layout/mainland_a.level,"0,2200,1600,400,170",9,174,172,false,,,,,,,
mainland_a_28,TID_MAINLAND_A_28,level/base/mainland_a_28.json,layout/mainland_a.level,"0,2200,1600,400,170",9,167,164,false,,,,,,,
mainland_a_29,TID_MAINLAND_A_29,level/base/mainland_a_29.json,layout/mainland_a.level,"0,2200,1600,400,170",9,191,194,false,,,,,,,
mainland_a_30,TID_MAINLAND_A_30,level/base/mainland_a_30.json,layout/mainland_a.level,"0,5200,3200,800,340",16,348,442,false,,,,,,,
mainland_a_31,TID_MAINLAND_A_31,level/base/mainland_a_31.json,layout/mainland_a.level,"0,2600,1900,480,200",10,216,226,false,,,,,,,
mainland_a_32,TID_MAINLAND_A_32,level/base/mainland_a_32.json,layout/mainland_a.level,"0,2600,1900,480,200",10,207,214,false,,,,,,,
mainland_b_00,TID_MAINLAND_B_00,level/base/mainland_b_00.json,layout/mainland_b.level,"0,1300,740,190,80",4,85,83,false,,,,,,,
mainland_b_01,TID_MAINLAND_B_01,level/base/mainland_b_01.json,layout/mainland_b.level,"0,2100,1400,350,150",8,158,154,false,,,,,,,
mainland_b_02,TID_MAINLAND_B_02,level/base/mainland_b_02.json,layout/mainland_b.level,"0,1600,820,210,90",6,113,107,false,,,,,,,
mainland_b_03,TID_MAINLAND_B_03,level/base/mainland_b_03.json,layout/mainland_b.level,"0,1300,740,190,80",4,84,82,false,,,,,,,
mainland_b_04,TID_MAINLAND_B_04,level/base/mainland_b_04.json,layout/mainland_b.level,"0,1900,1200,300,130",7,143,138,false,,,,,,,
mainland_b_05,TID_MAINLAND_B_05,level/base/mainland_b_05.json,layout/mainland_b.level,"0,1600,820,210,90",6,122,116,false,,,,,,,
mainland_b_06,TID_MAINLAND_B_06,level/base/mainland_b_06.json,layout/mainland_b.level,"0,2600,1900,480,200",10,222,235,false,,,,,,,
mainland_b_07,TID_MAINLAND_B_07,level/base/mainland_b_07.json,layout/mainland_b.level,"0,2200,1600,400,170",9,201,206,false,,,,,,,
mainland_b_08,TID_MAINLAND_B_08,level/base/mainland_b_08.json,layout/mainland_b.level,"0,2900,2200,550,230",12,238,257,false,,,,,,,
mainland_b_09,TID_MAINLAND_B_09,level/base/mainland_b_09.json,layout/mainland_b.level,"0,2200,1600,400,170",9,188,190,false,,,,,,,
mainland_b_1,TID_MAINLAND_B_1,level/base/mainland_b_1.json,layout/mainland_b.level,"0,4200,3100,780,330",15,309,372,false,,,,,,,
mainland_b_2,TID_MAINLAND_B_2,level/base/mainland_b_2.json,layout/mainland_b.level,"0,1900,1200,300,130",7,150,145,false,,,,,,,
mainland_b_3,TID_MAINLAND_B_3,level/base/mainland_b_3.json,layout/mainland_b.level,"0,2200,1600,400,170",9,179,178,false,,,,,,,
mainland_b_4,TID_MAINLAND_B_4,level/base/mainland_b_4.json,layout/mainland_b.level,"0,1600,820,210,90",6,130,124,false,,,,,,,
mainland_b_5,TID_MAINLAND_B_5,level/base/mainland_b_5.json,layout/mainland_b.level,"0,2100,1400,350,150",8,156,152,false,,,,,,,
mainland_b_6,TID_MAINLAND_B_6,level/base/mainland_b_6.json,layout/mainland_b.level,"0,2900,2200,550,230",12,259,289,false,,,,,,,
mainland_b_7,TID_MAINLAND_B_7,level/base/mainland_b_7.json,layout/mainland_b.level,"0,2600,1900,480,200",10,216,226,false,,,,,,,
mainland_b_8,TID_MAINLAND_B_8,level/base/mainland_b_8.json,layout/mainland_b.level,"0,4000,3000,750,320",14,280,322,false,,,,,,,
mainland_b_9,TID_MAINLAND_B_9,level/base/mainland_b_9.json,layout/mainland_b.level,"0,2200,1600,400,170",9,182,182,false,,,,,,,
mainland_b_10,TID_MAINLAND_B_10,level/base/mainland_b_10.json,layout/mainland_b.level,"0,4200,3100,780,330",15,307,368,false,,,,,,,
mainland_b_11,TID_MAINLAND_B_11,level/base/mainland_b_11.json,layout/mainland_b.level,"0,2600,1900,480,200",10,226,240,false,,,,,,,
mainland_b_12,TID_MAINLAND_B_12,level/base/mainland_b_12.json,layout/mainland_b.level,"0,4200,3100,780,330",15,319,390,false,,,,,,,
mainland_b_13,TID_MAINLAND_B_13,level/base/mainland_b_13.json,layout/mainland_b.level,"0,5200,3200,800,340",16,344,436,false,,,,,,,
mainland_b_14,TID_MAINLAND_B_14,level/base/mainland_b_14.json,layout/mainland_b.level,"0,4200,3100,780,330",15,313,378,false,,,,,,,
mainland_b_15,TID_MAINLAND_B_15,level/base/mainland_b_15.json,layout/mainland_b.level,"0,5200,3200,800,340",16,336,420,false,,,,,,,
mainland_b_16,TID_MAINLAND_B_16,level/base/mainland_b_16.json,layout/mainland_b.level,"0,1500,780,200,80",5,89,86,false,,,,,,,
mainland_b_17,TID_MAINLAND_B_17,level/base/mainland_b_17.json,layout/mainland_b.level,"0,1600,820,210,90",6,133,127,false,,,,,,,
mainland_b_18,TID_MAINLAND_B_18,level/base/mainland_b_18.json,layout/mainland_b.level,"0,4200,3100,780,330",15,284,329,false,,,,,,,
mainland_b_19,TID_MAINLAND_B_19,level/base/mainland_b_19.json,layout/mainland_b.level,"0,2800,2100,530,220",11,230,246,false,,,,,,,
mainland_b_20,TID_MAINLAND_B_20,level/base/mainland_b_20.json,layout/mainland_b.level,"0,4200,3100,780,330",15,294,346,false,,,,,,,
mainland_b_21,TID_MAINLAND_B_21,level/base/mainland_b_21.json,layout/mainland_b.level,"0,2900,2200,550,230",12,250,275,false,,,,,,,
mainland_b_22,TID_MAINLAND_B_22,level/base/mainland_b_22.json,layout/mainland_b.level,"0,3600,2700,680,280",13,272,310,false,,,,,,,
mainland_b_23,TID_MAINLAND_B_23,level/base/mainland_b_23.json,layout/mainland_b.level,"0,2800,2100,530,220",11,236,254,false,,,,,,,
mainland_b_24,TID_MAINLAND_B_24,level/base/mainland_b_24.json,layout/mainland_b.level,"0,5900,3300,830,350",18,380,506,false,,,,,,,
mainland_b_25,TID_MAINLAND_B_25,level/base/mainland_b_25.json,layout/mainland_b.level,"0,1900,1200,300,130",7,150,145,false,,,,,,,
mainland_b_26,TID_MAINLAND_B_26,level/base/mainland_b_26.json,layout/mainland_b.level,"0,900,680,170,70",3,66,68,false,,,,,,,
mainland_b_27,TID_MAINLAND_B_27,level/base/mainland_b_27.json,layout/mainland_b.level,"0,600,450,110,50",1,7,31,false,,,,,,,
mainland_b_28,TID_MAINLAND_B_28,level/base/mainland_b_28.json,layout/mainland_b.level,"0,2100,1400,350,150",8,159,155,false,,,,,,,
mainland_b_29,TID_MAINLAND_B_29,level/base/mainland_b_29.json,layout/mainland_b.level,"0,1500,780,200,80",5,89,86,false,,,,,,,
mainland_b_30,TID_MAINLAND_B_30,level/base/mainland_b_30.json,layout/mainland_b.level,"0,1500,780,200,80",5,94,90,false,,,,,,,
mainland_b_31,TID_MAINLAND_B_31,level/base/mainland_b_31.json,layout/mainland_b.level,"0,900,680,170,70",3,53,58,false,,,,,,,
mainland_b_32,TID_MAINLAND_B_32,level/base/mainland_b_32.json,layout/mainland_b.level,"0,900,680,170,70",3,70,71,false,,,,,,,
mainland_b_33,TID_MAINLAND_B_33,level/base/mainland_b_33.json,layout/mainland_b.level,"0,600,450,110,50",1,3,29,false,,,,,,,
mainland_b_34,TID_MAINLAND_B_34,level/base/mainland_b_34.json,layout/mainland_b.level,"0,600,450,110,50",1,7,31,false,,,,,,,
small_a_00,TID_SMALL_A_00,level/base/small_a_00.json,layout/small_a.level,"0,2200,1600,400,170",9,193,196,false,,,,,,,
small_a_01,TID_SMALL_A_01,level/base/small_a_01.json,layout/small_a.level,"0,2200,1600,400,170",9,202,208,false,,,,,,,
small_a_02,TID_SMALL_A_02,level/base/small_a_02.json,layout/small_a.level,"0,2200,1600,400,170",9,190,192,false,,,,,,,
small_a_03,TID_SMALL_A_03,level/base/small_a_03.json,layout/small_a.level,"0,2200,1600,400,170",9,187,188,false,,,,,,,
small_a_04,TID_SMALL_A_04,level/base/small_a_04.json,layout/small_a.level,"0,2200,1600,400,170",9,184,185,false,,,,,,,
small_a_05,TID_SMALL_A_05,level/base/small_a_05.json,layout/small_a.level,"0,2600,1900,480,200",10,224,237,false,,,,,,,
small_a_06,TID_SMALL_A_06,level/base/small_a_06.json,layout/small_a.level,"0,2600,1900,480,200",10,207,214,false,,,,,,,
small_a_07,TID_SMALL_A_07,level/base/small_a_07.json,layout/small_a.level,"0,2800,2100,530,220",11,227,242,false,,,,,,,
small_a_08,TID_SMALL_A_08,level/base/small_a_08.json,layout/small_a.level,"0,2900,2200,550,230",12,246,270,false,,,,,,,
small_a_09,TID_SMALL_A_09,level/base/small_a_09.json,layout/small_a.level,"0,2900,2200,550,230",12,252,279,false,,,,,,,
small_a_1,TID_SMALL_A_1,level/base/small_a_1.json,layout/small_a.level,"0,1600,820,210,90",6,126,120,false,,,,,,,
small_a_2_cannon,TID_SMALL_A_2_CANNON,level/base/small_a_2_cannon.json,layout/small_a.level,"0,900,680,170,70",3,53,58,false,,,,,,,
small_a_2_flamer,TID_SMALL_A_2_FLAMER,level/base/small_a_2_flamer.json,layout/small_a.level,"0,900,680,170,70",3,58,62,false,,,,,,,
small_a_2_missile,TID_SMALL_A_2_MISSILE,level/base/small_a_2_missile.json,layout/small_a.level,"0,1500,780,200,80",5,94,90,false,,,,,,,
small_a_2_mortar,TID_SMALL_A_2_MORTAR,level/base/small_a_2_mortar.json,layout/small_a.level,"0,900,680,170,70",3,42,51,false,,,,,,,
small_a_3,TID_SMALL_A_3,level/base/small_a_3.json,layout/small_a.level,"0,900,680,170,70",3,69,70,false,,,,,,,
small_a_4,TID_SMALL_A_4,level/base/small_a_4.json,layout/small_a.level,"0,1600,820,210,90",6,134,128,false,,,,,,,
small_a_5,TID_SMALL_A_5,level/base/small_a_5.json,layout/small_a.level,"0,2200,1600,400,170",9,196,200,false,,,,,,,
small_a_6,TID_SMALL_A_6,level/base/small_a_6.json,layout/small_a.level,"0,4200,3100,780,330",15,320,391,false,,,,,,,
small_a_7,TID_SMALL_A_7,level/base/small_a_7.json,layout/small_a.level,"0,2800,2100,530,220",11,231,248,false,,,,,,,
small_a_8,TID_SMALL_A_8,level/base/small_a_8.json,layout/small_a.level,"0,2800,2100,530,220",11,231,248,false,,,,,,,
small_a_9,TID_SMALL_A_9,level/base/small_a_9.json,layout/small_a.level,"0,2900,2200,550,230",12,241,262,false,,,,,,,
small_a_10,TID_SMALL_A_10,level/base/small_a_10.json,layout/small_a.level,"0,2900,2200,550,230",12,238,258,false,,,,,,,
small_a_11,TID_SMALL_A_11,level/base/small_a_11.json,layout/small_a.level,"0,5900,3300,830,350",18,365,476,false,,,,,,,
small_a_12,TID_SMALL_A_12,level/base/small_a_12.json,layout/small_a.level,"0,2900,2200,550,230",12,244,266,false,,,,,,,
small_a_13,TID_SMALL_A_13,level/base/small_a_13.json,layout/small_a.level,"0,2200,1600,400,170",9,197,201,false,,,,,,,
small_a_14,TID_SMALL_A_14,level/base/small_a_14.json,layout/small_a.level,"0,1900,1200,300,130",7,142,136,false,,,,,,,
small_a_15,TID_SMALL_A_15,level/base/small_a_15.json,layout/small_a.level,"0,2200,1600,400,170",9,196,200,false,,,,,,,
small_a_16,TID_SMALL_A_16,level/base/small_a_16.json,layout/small_a.level,"0,4200,3100,780,330",15,283,327,false,,,,,,,
small_a_17,TID_SMALL_A_17,level/base/small_a_17.json,layout/small_a.level,"0,2600,1900,480,200",10,215,225,false,,,,,,,
small_a_18,TID_SMALL_A_18,level/base/small_a_18.json,layout/small_a.level,"0,2200,1600,400,170",9,203,209,false,,,,,,,
small_a_19,TID_SMALL_A_19,level/base/small_a_19.json,layout/small_a.level,"0,2900,2200,550,230",12,241,262,false,,,,,,,
small_a_20,TID_SMALL_A_20,level/base/small_a_20.json,layout/small_a.level,"0,1900,1200,300,130",7,142,136,false,,,,,,,
small_a_21,TID_SMALL_A_21,level/base/small_a_21.json,layout/small_a.level,"0,4000,3000,750,320",14,277,318,false,,,,,,,
small_a_22,TID_SMALL_A_22,level/base/small_a_22.json,layout/small_a.level,"0,2900,2200,550,230",12,245,268,false,,,,,,,
small_a_23,TID_SMALL_A_23,level/base/small_a_23.json,layout/small_a.level,"0,5200,3200,800,340",16,336,421,false,,,,,,,
small_a_24,TID_SMALL_A_24,level/base/small_a_24.json,layout/small_a.level,"0,3600,2700,680,280",13,267,302,false,,,,,,,
small_a_25,TID_SMALL_A_25,level/base/small_a_25.json,layout/small_a.level,"0,3600,2700,680,280",13,272,309,false,,,,,,,
small_a_26,TID_SMALL_A_26,level/base/small_a_26.json,layout/small_a.level,"0,2200,1600,400,170",9,200,205,false,,,,,,,
small_a_27,TID_SMALL_A_27,level/base/small_a_27.json,layout/small_a.level,"0,5200,3200,800,340",16,337,422,false,,,,,,,
small_a_28,TID_SMALL_A_28,level/base/small_a_28.json,layout/small_a.level,"0,4200,3100,780,330",15,309,372,false,,,,,,,
small_a_29,TID_SMALL_A_29,level/base/small_a_29.json,layout/small_a.level,"0,5200,3200,800,340",16,335,419,false,,,,,,,
small_a_30,TID_SMALL_A_30,level/base/small_a_30.json,layout/small_a.level,"0,2900,2200,550,230",12,263,295,false,,,,,,,
small_a_31,TID_SMALL_A_31,level/base/small_a_31.json,layout/small_a.level,"0,1500,780,200,80",5,36,90,false,,,,,,,
small_a_32,TID_SMALL_A_32,level/base/small_a_32.json,layout/small_a.level,"0,1600,820,210,90",6,36,96,false,,,,,,,
small_a_2_mortar2,TID_SMALL_A_2_MORTAR2,level/base/small_a_2_mortar2.json,layout/small_a.level,"0,1600,820,210,90",6,115,109,false,,,,,,,
small_a_33,TID_SMALL_A_33,level/base/small_a_33.json,layout/small_a.level,"0,900,680,170,70",3,53,58,false,,,,,,,
small_a_34,TID_SMALL_A_34,level/base/small_a_34.json,layout/small_a.level,"0,800,590,150,60",2,29,43,false,,,,,,,
small_a_35,TID_SMALL_A_35,level/base/small_a_35.json,layout/small_a.level,"0,1600,820,210,90",6,106,101,false,,,,,,,
small_a_36,TID_SMALL_A_36,level/base/small_a_36.json,layout/small_a.level,"0,1600,820,210,90",6,96,92,false,,,,,,,
small_a_37,TID_SMALL_A_37,level/base/small_a_37.json,layout/small_a.level,"0,1900,1200,300,130",7,135,129,false,,,,,,,
small_a_38,TID_SMALL_A_38,level/base/small_a_38.json,layout/small_a.level,"0,1900,1200,300,130",7,135,129,false,,,,,,,
small_b_00,TID_SMALL_B_00,level/base/small_b_00.json,layout/small_b.level,"0,1600,820,210,90",6,123,117,false,,,,,,,
small_b_01,TID_SMALL_B_01,level/base/small_b_01.json,layout/small_b.level,"0,1600,820,210,90",6,126,120,false,,,,,,,
small_b_02,TID_SMALL_B_02,level/base/small_b_02.json,layout/small_b.level,"0,1600,820,210,90",6,113,107,false,,,,,,,
small_b_03,TID_SMALL_B_03,level/base/small_b_03.json,layout/small_b.level,"0,2100,1400,350,150",8,156,152,false,,,,,,,
small_b_04,TID_SMALL_B_04,level/base/small_b_04.json,layout/small_b.level,"0,1900,1200,300,130",7,151,146,false,,,,,,,
small_b_05,TID_SMALL_B_05,level/base/small_b_05.json,layout/small_b.level,"0,1600,820,210,90",6,112,106,false,,,,,,,
small_b_06,TID_SMALL_B_06,level/base/small_b_06.json,layout/small_b.level,"0,2200,1600,400,170",9,183,184,false,,,,,,,
small_b_07,TID_SMALL_B_07,level/base/small_b_07.json,layout/small_b.level,"0,2200,1600,400,170",9,186,187,false,,,,,,,
small_b_08,TID_SMALL_B_08,level/base/small_b_08.json,layout/small_b.level,"0,1600,820,210,90",6,122,116,false,,,,,,,
small_b_09,TID_SMALL_B_09,level/base/small_b_09.json,layout/small_b.level,"0,4200,3100,780,330",15,306,366,false,,,,,,,
small_b_1,TID_SMALL_B_1,level/base/small_b_1.json,layout/small_b.level,"0,1300,740,190,80",4,77,76,false,,,,,,,
small_b_2,TID_SMALL_B_2,level/base/small_b_2.json,layout/small_b.level,"0,900,680,170,70",3,55,60,false,,,,,,,
small_b_3,TID_SMALL_B_3,level/base/small_b_3.json,layout/small_b.level,"0,1600,820,210,90",6,95,91,false,,,,,,,
small_b_4_missile,TID_SMALL_B_4_MISSILE,level/base/small_b_4_missile.json,layout/small_b.level,"0,1500,780,200,80",5,94,90,false,,,,,,,
small_b_4_flamer,TID_SMALL_B_4_FLAMER,level/base/small_b_4_flamer.json,layout/small_b.level,"0,900,680,170,70",3,58,62,false,,,,,,,
small_b_4_mortar,TID_SMALL_B_4_MORTAR,level/base/small_b_4_mortar.json,layout/small_b.level,"0,1300,740,190,80",4,79,78,false,,,,,,,
small_b_4_cannon,TID_SMALL_B_4_CANNON,level/base/small_b_4_cannon.json,layout/small_b.level,"0,900,680,170,70",3,53,58,false,,,,,,,
small_b_5,TID_SMALL_B_5,level/base/small_b_5.json,layout/small_b.level,"0,2100,1400,350,150",8,160,156,false,,,,,,,
small_b_6,TID_SMALL_B_6,level/base/small_b_6.json,layout/small_b.level,"0,2200,1600,400,170",9,187,188,false,,,,,,,
small_b_7,TID_SMALL_B_7,level/base/small_b_7.json,layout/small_b.level,"0,2200,1600,400,170",9,195,198,false,,,,,,,
small_b_8,TID_SMALL_B_8,level/base/small_b_8.json,layout/small_b.level,"0,4200,3100,780,330",15,286,332,false,,,,,,,
small_b_9,TID_SMALL_B_9,level/base/small_b_9.json,layout/small_b.level,"0,2900,2200,550,230",12,255,283,false,,,,,,,
small_b_10,TID_SMALL_B_10,level/base/small_b_10.json,layout/small_b.level,"0,3600,2700,680,280",13,275,314,false,,,,,,,
small_b_11,TID_SMALL_B_11,level/base/small_b_11.json,layout/small_b.level,"0,2600,1900,480,200",10,210,218,false,,,,,,,
small_b_12,TID_SMALL_B_12,level/base/small_b_12.json,layout/small_b.level,"0,1500,780,200,80",5,93,89,false,,,,,,,
small_b_13,TID_SMALL_B_13,level/base/small_b_13.json,layout/small_b.level,"0,1900,1200,300,130",7,149,144,false,,,,,,,
small_b_14,TID_SMALL_B_14,level/base/small_b_14.json,layout/small_b.level,"0,5200,3200,800,340",16,336,420,false,,,,,,,
small_b_15,TID_SMALL_B_15,level/base/small_b_15.json,layout/small_b.level,"0,2900,2200,550,230",12,241,262,false,,,,,,,
small_b_16,TID_SMALL_B_16,level/base/small_b_16.json,layout/small_b.level,"0,1500,780,200,80",5,89,86,false,,,,,,,
small_b_17,TID_SMALL_B_17,level/base/small_b_17.json,layout/small_b.level,"0,3600,2700,680,280",13,274,313,false,,,,,,,
small_b_18,TID_SMALL_B_18,level/base/small_b_18.json,layout/small_b.level,"0,2600,1900,480,200",10,215,225,false,,,,,,,
small_b_19,TID_SMALL_B_19,level/base/small_b_19.json,layout/small_b.level,"0,2900,2200,550,230",12,244,267,false,,,,,,,
small_b_20,TID_SMALL_B_20,level/base/small_b_20.json,layout/small_b.level,"0,900,680,170,70",3,42,51,false,,,,,,,
small_b_21,TID_SMALL_B_21,level/base/small_b_21.json,layout/small_b.level,"0,2600,1900,480,200",10,217,228,false,,,,,,,
small_b_22,TID_SMALL_B_22,level/base/small_b_22.json,layout/small_b.level,"0,5900,3300,830,350",18,390,526,false,,,,,,,
small_b_23,TID_SMALL_B_23,level/base/small_b_23.json,layout/small_b.level,"0,2200,1600,400,170",9,202,208,false,,,,,,,
